Timestep,Baseline_RR,Baseline_RU,Baseline_UR,Baseline_UU,Shock_RR,Shock_RU,Shock_UR,Shock_UU
1,0,1,0,0,1,1,0,0
2,0,2,1,0,2,1,0,0
3,0,1,1,1,0,1,0,0
4,0,0,0,0,1,1,0,0
5,1,1,0,0,2,3,0,0
6,0,1,1,0,0,0,0,0
7,1,0,0,0,0,0,0,0
8,1,0,0,0,1,0,2,0
9,2,1,1,0,0,0,1,0
10,1,2,1,0,0,0,1,0
11,3,11,17,10,5,9,17,14
12,4,5,18,5,6,6,16,8
13,5,4,10,2,6,11,16,3
14,3,4,17,12,7,2,13,6
15,3,4,10,3,1,4,13,4
16,4,8,15,6,4,7,13,11
17,2,10,17,5,1,7,14,7
18,2,6,17,10,3,8,12,7
19,1,7,21,7,6,12,24,7
20,11,17,31,3,12,19,39,11
21,9,14,22,10,8,11,25,10
22,8,8,24,12,5,10,20,10
23,11,17,23,9,5,9,24,11
24,9,15,41,14,12,16,45,8
25,4,14,27,10,5,11,32,8
26,14,11,22,18,9,10,26,9
27,4,15,23,1,8,6,23,2
28,15,30,50,10,14,23,50,6
29,17,7,31,9,8,18,28,7
30,9,10,34,15,4,10,31,1
