Timestep,Baseline,Shock_R (Rural Only),Shock_UR (Urban+Rural)
1,0.647460310098794,0.656968431081344,0.681228945080792
2,0.647390300463189,0.656852170963799,0.680337253681192
3,0.643462963136554,0.657109211442212,0.680403444490145
4,0.713398641125533,0.752510664031822,0.745546869829506
5,0.638079724788167,0.652915356278466,0.679998003069962
6,0.798506370010413,0.804866623354067,0.814692219170937
7,0.787704910599888,0.793406051964689,0.811708131256789
8,0.737862659268185,0.759217048823776,0.77066492407956
9,0.773189796573702,0.781973904030891,0.807426304399549
10,0.763276461170614,0.7766365348538,0.809511511546542
11,0.758516318205207,0.771234347126941,0.808294531309877
12,0.711445503102408,0.77104003244199,0.7780607318467
13,0.760149949002584,0.767712323078139,0.819197266673294
14,0.757420650259881,0.76505879289896,0.800213611436078
15,0.746337373867229,0.756952778237268,0.804798279087959
16,0.708431457363725,0.750913149380523,0.753574772717224
17,0.738084338778685,0.731859475092626,0.785991112505275
18,0.738027315805651,0.721093943086186,0.77282535924004
19,0.731347136491084,0.727311604993366,0.77624823306405
20,0.694666706247167,0.759004201660874,0.732561309760535
21,0.734962150435011,0.702958388434665,0.786950396259245
22,0.721683198245397,0.695565699665926,0.788878203252305
23,0.714470390178618,0.701252972360102,0.781534591678798
24,0.674100290975406,0.713057835980576,0.701187849133019
25,0.698164706442973,0.685809803522184,0.762441448593616
26,0.718124837285347,0.685423185234882,0.755534774192006
27,0.703616302336125,0.689646146478884,0.763847584317029
28,0.676970095412243,0.713164548931436,0.712052419107559
29,0.708561018782965,0.68757636958454,0.737042410058637
30,0.706424457319272,0.689045338014353,0.754113478863055
31,0.698912365741004,0.687231451561617,0.747194227647111
32,0.664315287324375,0.703613613388978,0.686012944741538
33,0.694318513585481,0.70573881040158,0.731324528028203
34,0.691148293241227,0.703001279787979,0.732750583475977
35,0.694864928508817,0.677925703280498,0.741610200956023
36,0.66723661065548,0.684722452826574,0.680373364942044
37,0.691217317928379,0.684543579369365,0.735209291678247
