Timestep,Baseline_PA,Shock_R_PA (Rural Only),Shock_UR_PA (Urban+Rural)
1,0.672420121280832,0.664462554238464,0.659059903319993
2,0.66881845573452,0.666134411071488,0.656540566922286
3,0.666594257054819,0.665132067825135,0.656540566922286
4,0.732010179230648,0.739336743033606,0.730005995805916
5,0.661281054163528,0.661192749173396,0.648710623947361
6,0.795746447770519,0.816715301575032,0.815240110774265
7,0.788263566405727,0.809053012687902,0.80435338255874
8,0.754664692647027,0.793356493478217,0.763781488680033
9,0.771954246577818,0.796235772540948,0.78968112458658
10,0.777267204407744,0.804298294015335,0.780102089797911
11,0.781498387053382,0.80080170175741,0.781754321604905
12,0.767783785504689,0.774744779409823,0.756790437974589
13,0.770052428735688,0.794717765444938,0.779236792721876
14,0.755995259192296,0.800410575644295,0.778121229873093
15,0.753257461181436,0.808419474921379,0.774497179213576
16,0.747440830004462,0.761182653899774,0.750223209486376
17,0.735847554789052,0.796722628466938,0.760684285239026
18,0.735556807320251,0.776939478262936,0.750261000560312
19,0.747161915858217,0.791040898654015,0.761341992803754
20,0.718656516412344,0.752154650628601,0.724494771258088
21,0.728804418929252,0.770734360769591,0.738824532217497
22,0.729029394547001,0.757812860070606,0.74787803393928
23,0.727833278170076,0.754248250986593,0.74488396979478
24,0.705071264373261,0.737083873163557,0.704579634216835
25,0.719966588127715,0.742329101281395,0.734281375352438
26,0.717885778722064,0.737820133780992,0.725900533804398
27,0.713092960528177,0.736342531066712,0.718208561873579
28,0.703766363299697,0.724138073992905,0.701372241426164
29,0.728655564871082,0.748224615263914,0.712650125106188
30,0.724467826262096,0.755258154724161,0.71406875843812
31,0.729593427795416,0.7467954505044,0.713774204493631
32,0.698830262731277,0.705488073579404,0.672091178912795
33,0.70984999749545,0.746354986851489,0.707496652666664
34,0.715054879448112,0.747148061183571,0.722144301238987
35,0.731374027684954,0.741674270205184,0.729184788028356
36,0.672641210239132,0.721031458319625,0.698492113390495
37,0.721005012261085,0.73194072885105,0.709385993173329
