Timestep,Baseline,Shock_R (Rural Only),Shock_UR (Urban+Rural)
1,14.6868587285525,15.2973066563266,13.9005501602643
2,14.6877869349798,15.2989870591996,13.9143554294335
3,14.8116062701144,15.0753165006101,13.9420544639345
4,52.4412273602142,55.8299205553531,48.5140187951816
5,15.0255006855424,15.2136691153727,14.1679450339934
6,7.10286870309612,6.52756687761228,6.1814932550927
7,7.15858744585548,6.67759365449893,6.01369393295334
8,33.4825334695747,43.1852416387293,34.5402575124874
9,7.34407142025435,6.99625251876141,6.37209748859931
10,7.51762900614012,7.48195112927453,6.37968680083451
11,7.92350072275576,7.54187976138907,6.54675459248531
12,37.2953099972389,41.8510629277113,35.654173461527
13,7.81410170635376,8.28397832406403,5.94937345319013
14,8.86396297795604,8.76499664071311,6.81873378907472
15,9.91820716529291,9.13271145475466,6.49560095848664
16,39.1394288444727,44.6418391940585,39.8220657826685
17,10.4026320177453,10.5982354379312,7.32314958824047
18,11.1606127889584,11.0688625633726,8.01466586201644
19,11.2111223386839,10.9362506236715,8.12040751297504
20,43.5405989989984,48.2711051896222,40.876313400011
21,10.8194161168607,12.1128961892957,8.70505364385653
22,11.4242298320257,12.3950337844784,9.07163531371383
23,11.8407923003194,12.3257992536248,9.34870709264417
24,46.850797638484,58.3932500694143,49.3702960698546
25,13.1138644085292,12.4440605733311,10.2030874886867
26,12.0215688703777,12.3915856312684,10.7916552763719
27,12.9337548819895,12.4527732379284,10.3633210605326
28,50.7980730775038,57.9458414399069,48.3220880479443
29,12.8820775453693,12.2327209803988,11.7091973665647
30,13.0651449836653,12.4063515050699,11.2396378386634
31,13.2000271001033,12.6572230366658,11.7593775569484
32,57.7645995331306,56.9056020510328,50.1940853698626
33,12.9900071964177,12.0761895690414,12.1828886471591
34,13.5651525718423,12.3222893142242,12.6163259495983
35,13.5243533189537,13.5050027837103,12.313120498698
36,55.9537491410501,56.9838206529543,54.2429671748496
37,13.2524222681786,12.7913587630884,12.4753789389089
