Timestep,Baseline_PA,Shock_R_PA (Rural Only),Shock_UR_PA (Urban+Rural)
1,14.9059003620804,15.2736373738069,15.2702976647234
2,15.0448953243245,15.1682997427687,15.4390980327233
3,15.1292266453878,15.1863667488204,15.4390980327233
4,46.3263293375041,48.7712702602659,54.9746156106237
5,15.3989468125088,15.3116583085482,15.820324020001
6,7.47184979080238,6.42249920349006,6.94489321376322
7,7.65719930329872,6.47943362931811,7.17481796009536
8,35.1265150077147,37.1461801774654,36.9020398348877
9,7.91207607251031,5.91310543002395,7.60222056735541
10,7.8386685216111,5.79291454481712,7.77465408406094
11,7.65430806765999,6.02387837399305,7.64526291295693
12,38.5570186759667,41.874673234535,37.5623362278818
13,7.82215964561488,7.05214478768009,7.10668060608768
14,8.71024449912494,7.69609562892832,7.91754499860397
15,8.9062951994084,7.94791209372469,8.45862198365024
16,44.1879876088045,46.2328866016905,40.3856119212088
17,10.2513165092347,9.15345582266681,9.7047303129223
18,10.3964548622873,10.2817603219742,10.1148050153523
19,10.0620991023071,9.82644870678682,9.90248051032219
20,47.651085238911,43.1750664226518,38.5906738419289
21,10.4899871424518,10.806004656112,11.2122649622034
22,10.7230226435121,11.4468245549003,11.0056434990472
23,10.8010627572596,11.8042483602266,11.2000357670808
24,49.6073010087926,54.3951096646047,47.7978815034637
25,10.909211981292,12.2938189166773,12.1493242609678
26,11.4660034558888,12.8798311111447,12.941534292202
27,11.6672320547265,12.9584703316679,13.4840488211188
28,55.9843538977002,53.3431897833977,51.4091741870136
29,10.9849507265631,12.43101321907,13.5476716322486
30,11.4633452112589,12.518923658331,13.7394936500035
31,11.7528932702274,12.7519121541166,13.660576185587
32,57.9104918736898,59.7100333017788,50.8694192034612
33,11.8863560012134,12.3083057722748,13.708548709713
34,11.8358951874363,12.6305253036762,13.2930212988826
35,11.60477242075,13.1322306260903,13.1371814485285
36,52.4559560863231,60.4138315825703,47.7341597306224
37,11.4664233877522,13.3846544499442,13.7532763280623
