Timestep,Baseline_Cumulative,Shock_R (Rural Only)_Cumulative,Shock_UR (Urban+Rural)_Cumulative,Baseline_PerTimestep,Shock_R (Rural Only)_PerTimestep,Shock_UR (Urban+Rural)_PerTimestep
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,1,0,0,1,0,0
16,1,0,1,0,0,1
17,1,0,2,0,0,1
18,2,0,2,1,0,0
19,2,0,2,0,0,0
20,2,0,3,0,0,1
21,2,2,3,0,2,0
22,3,2,3,1,0,0
23,4,2,3,1,0,0
24,4,2,3,0,0,0
25,6,2,3,2,0,0
26,7,3,3,1,1,0
27,8,4,3,1,1,0
28,8,5,3,0,1,0
29,9,5,3,1,0,0
30,9,7,3,0,2,0
31,10,8,4,1,1,1
32,10,8,5,0,0,1
33,10,8,5,0,0,0
34,10,8,5,0,0,0
35,11,8,5,1,0,0
36,12,9,5,1,1,0
37,14,9,5,2,0,0
