Timestep,Baseline_PA_Cumulative,Shock_R_PA (Rural Only)_Cumulative,Shock_UR_PA (Urban+Rural)_Cumulative,Baseline_PA_PerTimestep,Shock_R_PA (Rural Only)_PerTimestep,Shock_UR_PA (Urban+Rural)_PerTimestep
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,1,0,0,1,0,0
7,1,0,0,0,0,0
8,1,0,0,0,0,0
9,1,0,0,0,0,0
10,1,0,0,0,0,0
11,1,0,0,0,0,0
12,1,0,0,0,0,0
13,1,0,0,0,0,0
14,1,0,0,0,0,0
15,1,0,1,0,0,1
16,1,0,1,0,0,0
17,1,0,1,0,0,0
18,1,0,1,0,0,0
19,1,1,1,0,1,0
20,1,1,1,0,0,0
21,1,1,1,0,0,0
22,3,1,1,2,0,0
23,3,1,1,0,0,0
24,4,1,1,1,0,0
25,4,1,1,0,0,0
26,5,1,1,1,0,0
27,6,1,1,1,0,0
28,6,1,2,0,0,1
29,6,1,2,0,0,0
30,6,1,2,0,0,0
31,6,2,3,0,1,1
32,7,2,4,1,0,1
33,9,2,5,2,0,1
34,11,3,5,2,1,0
35,12,4,7,1,1,2
36,12,6,7,0,2,0
37,12,6,7,0,0,0
