Timestep,Baseline_RR,Baseline_RU,Baseline_UR,Baseline_UU,Shock_R (Rural Only)_RR,Shock_R (Rural Only)_RU,Shock_R (Rural Only)_UR,Shock_R (Rural Only)_UU,Shock_UR (Urban+Rural)_RR,Shock_UR (Urban+Rural)_RU,Shock_UR (Urban+Rural)_UR,Shock_UR (Urban+Rural)_UU
1,1,0,0,0,0,0,0,0,1,2,0,0
2,0,1,0,0,1,2,0,0,1,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,1,1,0
5,0,1,1,0,0,0,1,0,1,0,0,0
6,4,2,1,3,2,0,2,1,1,1,2,3
7,1,2,0,2,0,1,2,0,3,0,1,1
8,2,0,0,2,0,1,1,0,0,0,1,1
9,1,2,1,2,2,0,2,0,1,1,2,3
10,2,0,1,0,1,1,1,1,0,0,2,2
11,0,1,1,2,0,3,0,0,1,3,0,0
12,2,1,3,1,0,0,1,3,1,3,3,0
13,5,2,1,1,1,0,2,3,1,0,6,0
14,1,2,5,3,1,0,5,2,0,2,7,2
15,2,4,2,1,3,0,4,1,3,5,1,2
16,4,1,1,5,5,2,5,3,3,6,2,2
17,2,4,3,1,2,3,3,3,5,3,8,0
18,4,4,3,0,5,3,4,2,4,6,7,1
19,5,1,1,2,4,2,3,3,5,3,5,4
20,7,2,4,4,3,3,8,7,3,8,14,1
21,6,4,0,2,5,3,4,5,5,3,9,3
22,4,3,6,2,3,2,2,2,6,3,5,2
23,2,6,5,1,3,6,4,2,7,6,5,4
24,4,3,7,2,0,3,7,2,5,2,6,5
25,4,6,6,3,4,4,2,4,2,3,6,3
26,8,3,7,0,5,3,10,3,6,5,5,3
27,4,5,2,2,8,3,7,6,7,3,6,3
28,2,2,7,7,3,9,9,3,5,6,11,3
29,3,1,5,10,8,4,8,2,2,4,9,4
30,4,4,4,2,3,7,6,3,6,7,7,2
31,2,2,7,1,7,6,8,2,3,4,7,2
32,4,8,9,4,6,3,11,4,7,7,9,2
33,2,3,7,3,2,2,5,5,5,6,8,3
34,4,6,9,4,6,5,8,5,6,4,8,3
35,4,8,6,3,4,4,6,5,4,10,8,4
36,3,8,5,2,6,9,15,6,6,3,10,3
37,4,4,5,1,6,4,5,5,3,6,7,4
