Timestep,Baseline_PA_RR,Baseline_PA_RU,Baseline_PA_UR,Baseline_PA_UU,Shock_R_PA (Rural Only)_RR,Shock_R_PA (Rural Only)_RU,Shock_R_PA (Rural Only)_UR,Shock_R_PA (Rural Only)_UU,Shock_UR_PA (Urban+Rural)_RR,Shock_UR_PA (Urban+Rural)_RU,Shock_UR_PA (Urban+Rural)_UR,Shock_UR_PA (Urban+Rural)_UU
1,1,0,0,0,0,0,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0
6,3,2,4,3,1,3,3,2,2,2,1,4
7,0,2,2,1,2,1,1,0,1,2,0,1
8,1,0,0,1,1,0,1,0,1,2,0,1
9,1,3,1,0,0,3,2,0,0,0,1,1
10,2,0,3,0,0,2,1,0,0,1,2,0
11,1,0,0,0,0,0,0,0,1,1,1,0
12,1,1,3,0,0,4,1,0,0,2,2,1
13,0,3,2,1,0,0,1,3,0,1,3,2
14,1,1,3,0,0,4,5,0,0,1,1,1
15,1,2,7,1,0,4,4,0,3,2,2,1
16,3,4,6,1,1,4,2,1,2,3,5,0
17,3,3,5,0,3,3,4,3,0,2,6,3
18,0,3,2,1,3,6,5,3,4,6,2,2
19,3,2,5,0,6,5,1,1,2,6,4,1
20,8,4,6,2,4,4,7,4,6,8,7,3
21,3,4,4,3,5,4,5,2,4,3,6,4
22,5,9,3,2,3,4,6,4,3,4,6,4
23,6,5,2,4,5,3,8,2,3,8,5,1
24,2,8,11,0,7,3,6,2,6,9,16,6
25,4,1,6,2,3,4,2,3,3,3,4,3
26,7,8,9,1,2,5,4,7,6,4,6,2
27,3,4,10,6,6,8,4,4,2,8,11,2
28,8,6,12,2,7,11,15,7,3,9,6,2
29,3,5,6,2,5,4,1,3,3,3,4,2
30,3,6,5,1,6,10,6,3,1,6,3,4
31,6,3,3,9,8,8,6,3,4,6,7,2
32,6,5,6,2,5,13,8,3,7,9,11,4
33,2,4,5,2,1,5,3,0,3,9,9,0
34,5,6,7,2,3,7,9,1,5,6,6,2
35,1,7,2,1,2,6,6,3,5,6,12,1
36,2,10,14,2,6,12,20,1,6,9,17,3
37,3,5,4,0,4,4,7,3,2,9,2,2
