location_code,region_code,region_name,is_urban,population,population_pct
11_R,11,Analamanga,0,2534649,9.86999705845039
11_U,11,Analamanga,1,1086278,4.229998183046005
12_R,12,Vakinankaratra,0,1402146,5.459997378539585
12_U,12,Vakinankaratra,1,395477,1.5399989610730263
13_R,13,Itasy,0,654848,2.549997192404992
13_U,13,Itasy,1,115561,0.4499979011182951
14_R,14,Bongolava,0,436565,1.6999968302602821
14_U,14,Bongolava,1,77041,0.2999998987552424
21_R,21,Haute Matsiatra,0,1101686,4.289997383991226
21_U,21,Haute Matsiatra,1,310732,1.2099994618451733
22_R,22,Amoron i Mania,0,785818,3.0599981884976457
22_U,22,Amoron i Mania,1,138673,0.5399967025361266
23_R,23,Vatovavy Fitovinany,0,1161778,4.523997382900897
23_U,23,Vatovavy Fitovinany,1,327681,1.275999361690744
24_R,24,Ihorombe,0,327424,1.274998596202496
24_U,24,Ihorombe,1,57780,0.22499700354457897
25_R,25,Atsimo Atsinanana,0,676677,2.6349999544398592
25_U,25,Atsimo Atsinanana,1,119413,0.46499770135460033
31_R,31,Atsinanana,0,1241901,4.835998679456839
31_U,31,Atsinanana,1,350279,1.3639966321320798
32_R,32,Analanjirofo,0,1061625,4.133998682727824
32_U,32,Analanjirofo,1,299432,1.165996932595368
33_R,33,Alaotra Mangoro,0,981502,3.8219973861718817
33_U,33,Alaotra Mangoro,1,276834,1.0779996621540322
41_R,41,Boeny,0,829475,3.229999818538242
41_U,41,Boeny,1,146377,0.5699963030087372
42_R,42,Sofia,0,1221870,4.757997381810569
42_U,42,Sofia,1,344630,1.3419992615363145
43_R,43,Betsiboka,0,327424,1.274998596202496
43_U,43,Betsiboka,1,57780,0.22499700354457897
44_R,44,Melaky,0,261939,1.0199980981561694
44_U,44,Melaky,1,46224,0.17999760283566318
51_R,51,Atsimo Andrefana,0,1362085,5.303998677276183
51_U,51,Atsimo Andrefana,1,384177,1.495996431823221
52_R,52,Androy,0,720333,2.8049976904513185
52_U,52,Androy,1,127117,0.49499730182721086
53_R,53,Anosy,0,676677,2.6349999544398592
53_U,53,Anosy,1,119413,0.46499770135460033
54_R,54,Menabe,0,589363,2.2949966943586655
54_U,54,Menabe,1,104005,0.4049985004093793
61_R,61,Diana,0,841288,3.2759999847354058
61_U,61,Diana,1,237286,0.9239985978379883
62_R,62,Sava,0,1021564,3.977999981464421
62_U,62,Sava,1,288133,1.1219982973747
