location_code,population
11_R,2534649
11_U,1086278
12_R,1402146
12_U,395477
13_R,654848
13_U,115561
14_R,436565
14_U,77041
21_R,1101686
21_U,310732
22_R,785818
22_U,138673
23_R,1161778
23_U,327681
24_R,327424
24_U,57780
25_R,676677
25_U,119413
31_R,1241901
31_U,350279
32_R,1061625
32_U,299432
33_R,981502
33_U,276834
41_R,829475
41_U,146377
42_R,1221870
42_U,344630
43_R,327424
43_U,57780
44_R,261939
44_U,46224
51_R,1362085
51_U,384177
52_R,720333
52_U,127117
53_R,676677
53_U,119413
54_R,589363
54_U,104005
61_R,841288
61_U,237286
62_R,1021564
62_U,288133
