Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,114.8,7.72657750883274,99.6,6.42650760522385,105,7.44983221287567,108,21.6217483104397
12,89.2,9.14877040918614,77.8,9.75704873412037,78,11.7473401244707,79.2,9.67987603226405
13,78.2,8.22800097228968,75.4,4.9295030175465,77.4,14.5705181788432,84.6,17.7002824836216
14,80,2.23606797749979,73.2,5.21536192416212,66,7.96868872525461,67.8,16.6042163320043
15,65.6,6.98569967862919,64.6,2.79284800875379,59.8,8.37854402626136,63,17.4355957741627
16,90.4,7.05691150575094,89,8.09320702811932,82.8,11.5412304370028,79.6,8.87693640846886
17,93,3.60555127546399,83.2,12.214745187682,77.2,8.01249024960405,80.6,6.50384501660364
18,95.2,13.8455769110572,89.6,8.79204185613331,83.4,10.1143462467922,85.2,6.1400325732035
19,123.6,17.7848249921105,118.6,16.607227342335,92.6,2.07364413533277,114.2,8.10555365166378
20,177.4,8.44393273303382,180.6,15.6300991679516,175.6,28.3160731740826,184.6,12.3409886151799
21,135.4,12.5419296760905,131.4,7.56967634711023,127.2,6.94262198308391,133,9.35414346693485
22,136,8.5146931829632,134,11.5325625946708,124.4,15.5177317930167,121.6,7.82943165242535
23,112.2,8.4970583144992,117.6,10.334408546211,112.4,14.7410990092327,115.8,10.4019228991567
24,190.8,4.86826457785523,196.4,13.8311243216161,194.8,30.7522356910843,195.6,17.7848249921106
25,142.4,5.59464029227975,147.4,14.3631472874158,136.8,18.7002673777676,129.8,3.56370593624109
26,124.8,9.20326029187483,121.2,8.87130204648675,118.4,5.41294744108974,113,8.48528137423857
27,106.8,9.20326029187483,95.4,13.145341380124,108.2,17.239489551608,103.6,13.3529023062404
28,225.2,7.19027120489902,211,17.5926120857592,211.6,14.4844744467999,205.4,13.6491757992928
29,149.6,14.0463518395347,154,16.431676725155,135.4,19.6035711032454,128.8,6.76017751246223
30,127.6,4.61519230368573,125,11.9791485507109,122,6.81909084849293,112,9.66953980290686
