Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,29.6,5.17687164221791,28.2,2.28035085019828,32.2,7.69415362466854,28.8,11.5195486022674
12,23.4,4.61519230368573,18,3.3166247903554,18.2,4.96990945591567,18,4.06201920231798
13,14.6,3.50713558335004,17.2,6.05805249234438,17.4,8.44393273303382,17,7.3143694191639
14,10.6,1.51657508881031,16,4.58257569495584,11.4,2.96647939483827,12,1.87082869338697
15,12.4,1.94935886896179,11.2,2.58843582110896,9.6,0.894427190999916,11.8,4.76445169982864
16,17.4,4.15932686861708,19,3.93700393700591,15.8,4.32434966208793,14.4,3.64691650576209
17,14.6,4.27784992724149,13.8,4.20713679359253,12.8,4.14728827066554,12.6,3.36154726279432
18,15,3.24037034920393,12,5.09901951359278,14.2,4.76445169982864,11,3
19,17.6,3.20936130717624,18.4,6.50384501660364,13.4,2.70185121722126,14.6,5.7706152185014
20,26.2,8.34865258589672,32,3.60555127546399,32.8,7.3280283842245,32.8,8.95544527089525
21,17.8,2.77488738510232,16.8,5.06951674225463,18.8,1.78885438199983,22.4,4.56070170039655
22,15,3.16227766016838,17.4,5.02991053598372,16.8,3.96232255123179,18.4,3.78153408023781
23,14.2,2.58843582110896,14.4,2.88097205817759,15.8,4.43846820423443,12,2
24,22,3.53553390593274,29,4.94974746830583,29.6,7.60263112349929,26.4,3.84707681233427
25,14,3.53553390593274,18.8,4.91934955049954,17.6,6.46529195009785,12.8,2.16794833886788
26,11,4.30116263352131,15,3.24037034920393,15.6,2.88097205817759,11.6,3.57770876399966
27,11.6,2.50998007960223,10.8,4.20713679359253,11.6,3.57770876399966,11,3.08220700148449
28,22.8,2.16794833886788,20.8,4.76445169982864,29,3.39116499156263,26.4,4.03732584763727
29,11.8,2.48997991959775,15.6,5.02991053598372,18,6.74536878161602,17.8,2.77488738510232
30,9.6,3.20936130717624,13,6.16441400296898,17,3.24037034920393,10.4,6.65582451691749
