Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,58.4,1.81659021245849,46.2,4.20713679359253,46.2,3.89871773792359,55.2,11.0544108843484
12,37.2,3.3466401061363,34.8,4.65832587954085,36.2,5.89067059000926,39.2,8.67179335547152
13,39.4,8.32466215530696,39.2,5.80517010948,39.2,6.05805249234438,45,8.8034084308295
14,42.8,7.25947656515261,34.8,5.01996015920445,31.8,1.92353840616713,35.2,10.3053384223906
15,30.6,6.18869937870632,31,2.82842712474619,28.2,7.42967024840268,27.6,10.4546640309481
16,35,4.74341649025257,36.6,4.87852436706019,37.4,3.20936130717624,31.4,4.77493455452533
17,43.6,6.10737259384099,36.2,10.8258948821795,34,3.39116499156263,37.4,1.67332005306815
18,35.6,2.60768096208106,37,8,32,7.48331477354788,35.6,6.94982014155762
19,40.6,4.2190046219458,42.4,3.04959013639538,33.8,4.91934955049954,40.6,4.77493455452533
20,45.8,5.06951674225463,50.8,7.75886589650833,50.4,10.9224539367305,49.6,8.67755725996665
21,40.8,7.88669766125214,39.4,6.22896460095897,38,2.34520787991171,42.4,3.78153408023781
22,42,9.08295106229247,45.6,3.43511280746353,36.2,7.01427116670007,40.4,2.70185121722126
23,33.8,5.76194411635517,32.8,4.81663783151692,35.2,5.06951674225463,38.6,6.65582451691749
24,49.8,6.57267069006199,47.8,9.83361581515162,45.8,5.58569601750758,38,7.71362431027076
25,42.2,5.54075807087803,41,2.91547594742265,40.8,8.70057469366248,45.4,5.94138031100518
26,39.4,5.98331012066064,39,3.39116499156263,39.8,4.14728827066554,34.4,2.50998007960223
27,32,5.43139024560011,27.4,3.50713558335004,33.4,5.31977443130815,31.6,4.2190046219458
28,47.4,4.15932686861708,42.4,6.91375440697744,37.4,7.82943165242535,39,9.35414346693485
29,48,6.04152298679729,49,11.5974135047432,46.2,7.94984276574072,44.8,7.69415362466854
30,41.2,5.11859355682789,36.4,7.46993975879324,39.8,7.25947656515261,38.4,7.43639697703128
