Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,1104.4,113.9925436158,1057,99.0328228417225,1043.8,73.1006155924832,1133.8,185.781323065587
12,645.8,76.0703621655635,554,77.9743547584717,551,90.4184715641666,566.4,85.1956571663134
13,496.8,73.0664081503943,519.6,73.1594149785248,465.4,106.52605315133,552.6,154.054535798204
14,437.2,46.5961371789551,477.2,90.3393601925539,377.6,83.2844523305521,395.4,82.4002427180891
15,350,60.6918445921691,366.4,47.1836836205059,316.2,40.6780038841632,361.6,80.4288505450625
16,515,119.02310700028,530.2,61.9249545821392,531.2,139.338436908127,487.4,56.8840926797642
17,521.8,95.5468471484015,462.2,88.1345562194534,406.4,58.1919238382784,463.2,51.5965115099849
18,573.6,85.3422521380822,455.8,124.041122213563,467.2,103.976920516045,477.4,40.1347729531388
19,662.8,165.224695490717,621.4,108.063870002883,471,21.3658606192215,655.4,90.3371462909915
20,1127,78.4474346298207,1186.6,166.361954785341,1411.6,238.829018337387,1441.8,112.404181416885
21,828.8,120.783690952049,779.8,92.923086474783,700.8,42.3874981568858,778.6,120.980576953493
22,775,116.586877477699,741.8,53.3169766584715,658.6,65.6147849192543,693.8,56.2778819786246
23,660.8,73.2850598689801,651.6,78.7959389816506,610.6,61.0925527376292,677,159.731023912075
24,1208.6,85.0076467148691,1329.6,128.443762012797,1445.6,311.444698140777,1565.8,64.7896596688083
25,810,48.0572575164251,842.8,47.9186811170758,776.8,147.155360079067,797.6,65.2556510962844
26,776.6,76.2056428356851,824.6,104.925211460354,729.6,54.8388548385176,719.8,65.6330709322671
27,706.2,108.188261840183,602,77,596.4,94.2539123856405,594.8,119.000840333167
28,1570.8,83.8254138075083,1403.6,173.887319836726,1645.2,155.983011895527,1534.6,20.1320639776452
29,967,125.968249967998,980.6,120.0720616963,791,155.299710237978,738.8,59.9891656884808
30,848.2,66.2849907595981,834,51.1028374946049,737.6,67.9286390265549,692.6,30.9402650279535
