Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,14.4,3.43511280746353,12.4,2.70185121722126,11.6,2.50998007960223,10.6,3.20936130717624
12,13.8,3.63318042491699,10.8,2.38746727726266,8,3.16227766016838,11.2,2.48997991959775
13,12.2,2.94957624075052,8.8,3.76828873628335,9,2.23606797749979,11.6,6.91375440697744
14,12,3.53553390593274,10,2.23606797749979,9,1.58113883008419,9,4.74341649025257
15,10.2,4.54972526643093,9.8,1.92353840616713,10,4.41588043316392,11.2,4.20713679359253
16,14,3,12.4,3.57770876399966,11.8,4.20713679359253,15.6,2.88097205817759
17,11.4,2.88097205817759,14.8,3.27108544675922,11.6,2.70185121722126,15,4.41588043316392
18,19.6,4.92950301754649,18,4.94974746830583,15.6,2.79284800875379,15.8,3.03315017762062
19,22.2,8.31865373723417,25,6.81909084849293,18.4,6.06630035524124,26,4.06201920231798
20,44.8,5.06951674225463,40.6,5.59464029227975,40.4,11.3048662088501,47.8,3.70135110466435
21,32,5.19615242270663,28.4,5.68330889535313,28.8,6.18061485614498,25,6.51920240520265
22,30.2,3.63318042491699,25,5.3851648071345,28.4,6.18869937870632,26.6,4.15932686861708
23,25.4,4.27784992724149,28.8,4.86826457785523,26.2,4.60434577328854,23.2,2.16794833886788
24,50.4,5.45893762558247,51,5.43139024560011,53.4,7.92464510246358,60.2,8.52642949891688
25,30.2,6.30079360080935,31.4,7.19722168617863,32.8,6.49615270756469,25,2
26,26.4,6.50384501660364,25.6,4.61519230368573,22.2,3.27108544675922,21.8,3.42052627529741
27,22.6,5.59464029227975,21,3.67423461417477,25,2.54950975679639,24.8,2.16794833886788
28,67,5.61248608016091,62,7.51664818918645,66.6,9.71081870904817,66,6.67083203206317
29,27,6.81909084849293,26,6.04152298679729,28,7.87400787401181,17.6,4.15932686861708
30,23.4,3.04959013639538,20.8,3.83405790253616,20.6,1.34164078649987,17.4,3.64691650576209
