Timestep,Control_Mean,Control_Std,Shock_Mean,Shock_Std,PA_Mean,PA_Std,PA_Shock_Mean,PA_Shock_Std
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,12.4,3.78153408023781,12.8,3.11448230047949,15,4.52769256906871,13.4,5.45893762558247
12,14.8,5.49545266561363,14.2,3.89871773792359,15.6,2.40831891575846,10.8,4.32434966208793
13,12,1.4142135623731,10.2,3.70135110466435,11.8,5.71839138219832,11,5.24404424085076
14,14.6,3.78153408023781,12.4,2.60768096208106,13.8,3.96232255123179,11.6,4.09878030638384
15,12.4,3.50713558335004,12.6,2.60768096208106,12,1.22474487139159,12.4,2.19089023002066
16,24,7.41619848709566,21,4.18330013267038,17.8,5.6302753041037,18.2,3.56370593624109
17,23.4,6.65582451691749,18.4,2.96647939483826,18.8,5.35723809439155,15.6,4.82700735445887
18,25,9.9498743710662,22.6,7.53657747256671,21.6,7.09224929059886,22.8,4.81663783151692
19,43.2,6.49615270756469,32.8,4.14728827066554,27,2.54950975679639,33,6.96419413859206
20,60.6,5.98331012066064,57.2,12.0706255016051,52,7.96868872525461,54.4,3.57770876399966
21,44.8,4.43846820423443,46.8,4.32434966208793,41.6,5.89915248150105,43.2,5.71839138219832
22,48.8,5.76194411635517,46,3.39116499156263,43,7.71362431027076,36.2,7.82304288624318
23,38.8,6.37965516309463,41.6,6.02494813255683,35.2,6.22093240599832,42,5.78791845139511
24,68.6,6.87749954561976,68.6,4.33589667773576,66,12.0830459735946,71,9.13783344124853
25,56,6.74536878161602,56.2,8.98331787259028,45.6,4.72228758124704,46.6,3.57770876399966
26,48,5.24404424085076,41.6,5.59464029227975,40.8,6.05805249234438,45.2,6.53452370108182
27,40.6,8.67755725996666,36.2,8.87130204648675,38.2,9.47100839404126,36.2,7.42967024840268
28,88,11.8321595661992,85.8,12.4177292610203,78.6,9.31665175908169,74,7.68114574786861
29,62.8,7.66159252375118,63.4,12.8569047597001,43.2,6.94262198308391,48.6,6.34822809924155
30,53.4,3.78153408023781,54.8,8.92748564826626,44.6,5.12835256198323,45.8,7.3280283842245
